epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,232.26,1.18052,1.80251,0.66933,0.90607,0.88781,0.8693,0.87563,0.44505,0.87753,0.84589,0.85403,0.38941,1.34328,2.4169,0.72116,0.95652,0.001901,0.001901,0.001901
52,236.393,1.16225,1.69869,0.65106,0.91427,0.89183,0.87275,0.88963,0.45317,0.88094,0.85081,0.86307,0.39953,1.32133,2.28942,0.71393,0.95237,0.00189902,0.00189902,0.00189902
53,240.638,1.21845,1.82806,0.69998,0.93215,0.91513,0.88961,0.91689,0.49999,0.89956,0.85821,0.88182,0.42218,1.22278,2.13498,0.689,0.94194,0.00189704,0.00189704,0.00189704
54,244.939,1.19422,1.87959,0.69658,0.92581,0.9163,0.89377,0.91295,0.49765,0.88974,0.86508,0.87703,0.42474,1.23809,2.18239,0.69924,0.9426,0.00189506,0.00189506,0.00189506
55,249.182,1.19018,1.83403,0.68594,0.91729,0.9283,0.89319,0.91991,0.4789,0.90579,0.86606,0.88143,0.41356,1.24776,2.11293,0.68749,0.94269,0.00189308,0.00189308,0.00189308
56,253.508,1.18145,1.79717,0.67739,0.91357,0.90557,0.88216,0.89755,0.44605,0.886,0.8624,0.86446,0.39017,1.25156,2.22599,0.70052,0.94687,0.0018911,0.0018911,0.0018911
57,257.952,1.17072,1.73524,0.66169,0.90666,0.91686,0.89115,0.91234,0.48942,0.90267,0.87313,0.88655,0.43784,1.2221,2.12784,0.67856,0.93867,0.00188912,0.00188912,0.00188912
58,262.352,1.10791,1.71349,0.6491,0.90904,0.92066,0.8923,0.91399,0.50184,0.89822,0.86936,0.88542,0.43373,1.27403,2.11123,0.66695,0.94237,0.00188714,0.00188714,0.00188714
59,266.701,1.14626,1.7141,0.66542,0.90271,0.90354,0.89038,0.90388,0.48797,0.89641,0.87007,0.88545,0.45182,1.25772,2.20205,0.66895,0.94364,0.00188516,0.00188516,0.00188516
60,271.271,1.1241,1.65747,0.64917,0.90584,0.90497,0.89076,0.91078,0.48411,0.88973,0.87313,0.88562,0.44682,1.25038,2.17088,0.65696,0.9435,0.00188318,0.00188318,0.00188318
61,275.617,1.19455,1.8156,0.67987,0.91562,0.91505,0.89881,0.91771,0.46942,0.89591,0.87313,0.87838,0.40759,1.28242,2.11159,0.67899,0.94504,0.0018812,0.0018812,0.0018812
62,279.921,1.1667,1.74471,0.6786,0.91283,0.92124,0.88885,0.90991,0.45015,0.90403,0.87014,0.87794,0.41267,1.25931,2.08942,0.6914,0.94414,0.00187922,0.00187922,0.00187922
63,284.353,1.11389,1.67584,0.65493,0.90104,0.89847,0.87847,0.89877,0.45313,0.86078,0.84362,0.84166,0.36326,1.29195,2.27648,0.70696,0.95554,0.00187724,0.00187724,0.00187724
64,288.73,1.14108,1.60035,0.66034,0.89819,0.88649,0.87108,0.89817,0.46967,0.84352,0.82025,0.82992,0.37119,1.31524,2.25818,0.71945,0.95736,0.00187526,0.00187526,0.00187526
65,292.967,1.11049,1.62105,0.67246,0.89426,0.85542,0.86317,0.86591,0.46809,0.84994,0.85282,0.85642,0.41768,1.31499,2.67168,0.72327,0.96654,0.00187328,0.00187328,0.00187328
66,297.316,1.16754,1.86278,0.69413,0.93194,0.88739,0.8693,0.88371,0.47373,0.8876,0.86125,0.87737,0.43247,1.30374,2.39885,0.72289,0.95905,0.0018713,0.0018713,0.0018713
67,301.65,1.12685,1.68293,0.64316,0.89387,0.91152,0.90026,0.90937,0.4331,0.88241,0.87152,0.86026,0.37361,1.39927,2.20209,0.70561,0.96211,0.00186932,0.00186932,0.00186932
68,306.034,1.14218,1.73516,0.65755,0.90071,0.91032,0.8988,0.90504,0.44451,0.88964,0.87439,0.86167,0.37565,1.31112,2.10936,0.70631,0.94564,0.00186734,0.00186734,0.00186734
