epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,154.68,1.2024,0.65994,0.91929,0.91239,0.8782,0.90951,0.47104,1.34938,0.6819,0.96097,0.00188912,0.00188912,0.00188912
58,157.188,1.16337,0.66126,0.92191,0.91,0.88356,0.91178,0.47156,1.3055,0.6853,0.95556,0.00188714,0.00188714,0.00188714
59,159.762,1.19729,0.68207,0.91967,0.90412,0.88271,0.90123,0.44597,1.28522,0.66638,0.95348,0.00188516,0.00188516,0.00188516
60,162.27,1.15604,0.64327,0.91704,0.92309,0.89244,0.91754,0.48741,1.24713,0.64703,0.9458,0.00188318,0.00188318,0.00188318
61,164.91,1.20623,0.67573,0.92288,0.91501,0.88308,0.89885,0.43495,1.31153,0.65963,0.95963,0.0018812,0.0018812,0.0018812
62,167.544,1.16256,0.65526,0.91393,0.9244,0.89115,0.91696,0.47596,1.2522,0.63251,0.94669,0.00187922,0.00187922,0.00187922
63,170.175,1.15383,0.64216,0.90948,0.91161,0.88948,0.91146,0.46874,1.33642,0.66715,0.9652,0.00187724,0.00187724,0.00187724
64,173.087,1.19752,0.64251,0.91408,0.92513,0.89536,0.91944,0.48458,1.30199,0.65893,0.96024,0.00187526,0.00187526,0.00187526
65,175.833,1.14631,0.6512,0.90248,0.93006,0.90418,0.92565,0.49406,1.25884,0.6562,0.94575,0.00187328,0.00187328,0.00187328
66,178.531,1.1963,0.66366,0.93973,0.91366,0.88386,0.90553,0.47017,1.27381,0.66906,0.95715,0.0018713,0.0018713,0.0018713
67,181.104,1.10921,0.60579,0.89759,0.91806,0.88731,0.91149,0.49292,1.3112,0.6391,0.95658,0.00186932,0.00186932,0.00186932
68,183.652,1.12249,0.61936,0.90603,0.91987,0.89153,0.91477,0.49111,1.25191,0.6317,0.94671,0.00186734,0.00186734,0.00186734
69,186.241,1.12661,0.61461,0.90489,0.90929,0.89498,0.9061,0.45169,1.2555,0.6483,0.95538,0.00186536,0.00186536,0.00186536
70,188.721,1.10568,0.61875,0.90216,0.92676,0.90073,0.92432,0.47589,1.32026,0.64921,0.95514,0.00186338,0.00186338,0.00186338
