epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,872.631,1.21331,1.80092,0.65457,0.92385,0.93331,0.96923,0.98475,0.5825,0.96049,0.93499,0.96458,0.50946,1.34091,2.05402,0.61456,0.88167,0.00181784,0.00181784,0.00181784
94,882.117,1.21415,1.85811,0.66551,0.93363,0.92607,0.96357,0.98265,0.5941,0.95312,0.93077,0.96116,0.51894,1.30636,1.97255,0.59554,0.86507,0.00181586,0.00181586,0.00181586
95,891.795,1.22148,1.84194,0.65098,0.9305,0.9624,0.93077,0.98152,0.54451,0.98006,0.93077,0.96112,0.49557,1.52271,2.18404,0.63261,0.90679,0.00181388,0.00181388,0.00181388
96,900.945,1.12114,1.66274,0.62015,0.91692,0.94628,0.91538,0.9785,0.55108,0.95423,0.92308,0.95739,0.47463,1.45094,2.16677,0.62577,0.90019,0.0018119,0.0018119,0.0018119
97,910.566,1.19041,1.78789,0.64254,0.92797,0.98271,0.91538,0.96981,0.58019,0.96609,0.9,0.95406,0.48477,1.35922,2.2627,0.62051,0.88835,0.00180992,0.00180992,0.00180992
98,920.26,1.12997,1.66697,0.83087,0.91669,0.97783,0.93077,0.98826,0.57598,0.96127,0.91538,0.95665,0.48538,1.37792,2.17742,0.61068,0.87659,0.00180794,0.00180794,0.00180794
99,930.279,1.12643,1.66571,0.61781,0.90746,0.9251,0.95014,0.97776,0.59768,0.95286,0.93304,0.96353,0.48667,1.30632,2.03255,0.59668,0.86744,0.00180596,0.00180596,0.00180596
100,939.757,1.18194,1.74061,0.64643,0.9339,0.91879,0.95727,0.98369,0.60682,0.96016,0.927,0.9541,0.50546,1.27679,1.93623,0.58822,0.86354,0.00180398,0.00180398,0.00180398
101,949.713,1.20929,1.786,0.6555,0.92489,0.97561,0.92292,0.98738,0.61768,0.98371,0.92892,0.9637,0.50997,1.25201,1.89862,0.59474,0.85897,0.001802,0.001802,0.001802
102,958.959,1.15155,1.69891,0.82592,0.91514,0.9456,0.93599,0.98152,0.59351,0.95521,0.89231,0.94862,0.4887,1.27947,1.96301,0.57719,0.86849,0.00180002,0.00180002,0.00180002
103,968.487,1.1877,1.75092,0.66495,0.92578,0.94558,0.93568,0.98278,0.60531,0.95689,0.90769,0.94888,0.51064,1.26272,1.88342,0.58589,0.86819,0.00179804,0.00179804,0.00179804
104,977.774,1.16468,1.73223,0.6703,0.91901,0.94413,0.90994,0.98051,0.60984,0.94062,0.93846,0.96092,0.49506,1.25848,1.84882,0.58706,0.86301,0.00179606,0.00179606,0.00179606
105,986.993,1.1347,1.66476,0.62954,0.90881,0.96711,0.90484,0.98263,0.60104,0.96711,0.90484,0.95637,0.49251,1.23584,2.01014,0.58736,0.8593,0.00179408,0.00179408,0.00179408
106,996.63,1.16971,1.71317,0.64074,0.91661,0.95514,0.90769,0.98073,0.62438,0.96396,0.91538,0.96048,0.51828,1.149,1.89063,0.55762,0.85014,0.0017921,0.0017921,0.0017921
107,1006.29,1.26242,1.85362,0.69542,0.94229,0.96111,0.93077,0.97858,0.56806,0.96776,0.92348,0.95964,0.51265,1.37946,2.05581,0.61682,0.89306,0.00179012,0.00179012,0.00179012
108,1015.8,1.17861,1.75585,0.6735,0.93143,0.93403,0.98018,0.98427,0.66481,0.97547,0.91776,0.96394,0.56122,1.0985,1.74177,0.57867,0.85153,0.00178814,0.00178814,0.00178814
109,1025.3,1.18907,1.73699,0.65115,0.91214,0.96757,0.91794,0.97832,0.59691,0.9515,0.90554,0.95598,0.49306,1.29854,1.90649,0.58303,0.87283,0.00178616,0.00178616,0.00178616
110,1034.31,1.22036,1.79634,0.67839,0.93598,0.91025,0.94615,0.97011,0.54361,0.95992,0.92106,0.95239,0.46207,1.50245,2.18184,0.63313,0.89797,0.00178418,0.00178418,0.00178418
111,1043.28,1.15412,1.72941,0.66647,0.92333,0.91977,0.92308,0.97729,0.60091,0.95875,0.89402,0.95956,0.49515,1.26502,1.92378,0.62365,0.86532,0.0017822,0.0017822,0.0017822
112,1052.62,1.12369,1.64888,0.78114,0.90421,0.95245,0.91538,0.98477,0.61368,0.96274,0.92308,0.95458,0.50841,1.31558,2.14455,0.59386,0.87673,0.00178022,0.00178022,0.00178022
113,1062.23,1.13091,1.66901,0.64778,0.91699,0.95254,0.92631,0.98397,0.59847,0.96899,0.91538,0.95944,0.49657,1.29743,2.00915,0.59896,0.86548,0.00177824,0.00177824,0.00177824
114,1071.7,1.16279,1.68614,0.65228,0.92006,0.95229,0.93846,0.98179,0.5606,0.9673,0.9101,0.95462,0.48168,1.44751,2.05447,0.62152,0.88651,0.00177626,0.00177626,0.00177626
115,1080.88,1.15944,1.66703,0.63805,0.90882,0.94228,0.94615,0.98103,0.6112,0.97036,0.91538,0.95525,0.54565,1.2299,1.8463,0.58852,0.86611,0.00177428,0.00177428,0.00177428
116,1090.27,1.18114,1.75006,0.65223,0.91956,0.88913,0.92538,0.96639,0.58269,0.92051,0.89074,0.93147,0.48707,1.28969,2.07248,0.61399,0.87878,0.0017723,0.0017723,0.0017723
117,1099.65,1.20934,1.79303,0.65826,0.91938,0.86517,0.2962,0.76746,0.41734,0.85845,0.29231,0.64973,0.26925,1.56562,4.18312,1.8181,0.9573,0.00177032,0.00177032,0.00177032
