epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,468.641,1.28034,1.90619,0.74172,0.94109,0.94027,0.85476,0.90834,0.5636,0.92503,0.82127,0.87843,0.37444,1.3604,1.82862,0.72808,0.88098,0.00190298,0.00190298,0.00190298
51,477.649,1.22771,1.85657,0.73382,0.93986,0.93978,0.8552,0.91589,0.54572,0.92254,0.82353,0.88277,0.33206,1.51748,2.12886,0.77137,0.90017,0.001901,0.001901,0.001901
52,486.48,1.24901,1.84804,0.73826,0.92948,0.95616,0.85294,0.917,0.59318,0.92572,0.82579,0.87761,0.35864,1.28632,1.92353,0.72351,0.88361,0.00189902,0.00189902,0.00189902
53,495.46,1.25164,1.87608,0.73556,0.94208,0.93223,0.85747,0.91728,0.55596,0.90365,0.82752,0.88116,0.34899,1.42078,1.98594,0.75593,0.89064,0.00189704,0.00189704,0.00189704
54,504.597,1.18997,1.81094,0.71424,0.93946,0.94429,0.87104,0.92774,0.60039,0.91989,0.83032,0.87967,0.35485,1.28141,1.9425,0.68078,0.87873,0.00189506,0.00189506,0.00189506
55,513.555,1.25411,1.81618,0.70886,0.93679,0.9323,0.8733,0.93058,0.6334,0.93049,0.83032,0.90434,0.42326,1.17114,1.85854,0.66009,0.87257,0.00189308,0.00189308,0.00189308
56,522.512,1.23626,1.80311,0.71144,0.93598,0.93835,0.86086,0.91353,0.59021,0.90296,0.81222,0.86276,0.36393,1.36769,1.99648,0.7059,0.88761,0.0018911,0.0018911,0.0018911
57,531.461,1.19349,1.7814,0.69437,0.9435,0.95333,0.8552,0.92172,0.58527,0.91237,0.81448,0.86626,0.38033,1.33993,1.84286,0.66705,0.88011,0.00188912,0.00188912,0.00188912
58,540.536,1.25338,1.94286,0.71443,0.93618,0.93895,0.85973,0.92405,0.56138,0.91021,0.82568,0.88072,0.33996,1.3635,2.01124,0.70972,0.88142,0.00188714,0.00188714,0.00188714
59,549.31,1.21374,1.81967,0.69771,0.93873,0.92194,0.87104,0.89748,0.56046,0.89351,0.83527,0.85129,0.33208,1.31216,2.05406,0.71321,0.8844,0.00188516,0.00188516,0.00188516
60,558.356,1.29523,1.89388,0.75055,0.9434,0.93905,0.87104,0.92698,0.61841,0.91869,0.8371,0.89693,0.39385,1.21415,1.87002,0.70886,0.8735,0.00188318,0.00188318,0.00188318
61,567.29,1.22001,1.78658,0.6802,0.94089,0.93934,0.85973,0.9237,0.57177,0.90279,0.82353,0.88183,0.35866,1.3919,1.90337,0.72697,0.88148,0.0018812,0.0018812,0.0018812
62,576.106,1.1881,1.7885,0.69952,0.93378,0.92825,0.86652,0.91265,0.55558,0.90231,0.82127,0.87475,0.33807,1.40312,1.89072,0.72713,0.8814,0.00187922,0.00187922,0.00187922
63,584.808,1.26138,1.81759,0.69511,0.92658,0.92652,0.87557,0.91873,0.61761,0.90112,0.84539,0.88922,0.39426,1.1993,1.86716,0.6901,0.86973,0.00187724,0.00187724,0.00187724
64,594.119,1.22947,1.7837,0.69501,0.92652,0.94529,0.86003,0.92175,0.62523,0.92105,0.81817,0.87582,0.3912,1.16704,1.83103,0.7261,0.87092,0.00187526,0.00187526,0.00187526
65,603.263,1.22748,1.82917,0.70189,0.93139,0.94475,0.85107,0.90761,0.53513,0.91301,0.8009,0.84397,0.30385,1.51989,2.07535,0.76048,0.89553,0.00187328,0.00187328,0.00187328
