epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,174.38,1.20691,0.66316,0.93067,0.90911,0.9093,0.92581,0.59667,1.19613,0.67097,0.95442,0.00187328,0.00187328,0.00187328
66,176.793,1.17966,0.64967,0.91597,0.91664,0.91126,0.93095,0.63422,1.09096,0.61136,0.92093,0.0018713,0.0018713,0.0018713
67,179.678,1.2141,0.65099,0.9025,0.85897,0.84675,0.88711,0.57414,1.17032,0.68138,0.94672,0.00186932,0.00186932,0.00186932
68,182.203,1.20076,0.65018,0.91736,0.74333,0.75325,0.75928,0.47255,1.19172,0.7863,0.95956,0.00186734,0.00186734,0.00186734
69,184.667,1.2333,0.67526,0.91975,0.83044,0.8417,0.87064,0.55619,1.21334,0.70898,0.95225,0.00186536,0.00186536,0.00186536
70,187.19,1.26949,0.65809,0.92324,0.91042,0.91732,0.93418,0.62556,1.13866,0.63504,0.9317,0.00186338,0.00186338,0.00186338
71,189.586,1.2308,0.68912,0.91463,0.91145,0.90901,0.93372,0.57177,1.31716,0.68455,0.96332,0.0018614,0.0018614,0.0018614
72,192.017,1.22743,0.65318,0.92813,0.91398,0.90433,0.938,0.59386,1.25723,0.66031,0.95608,0.00185942,0.00185942,0.00185942
73,194.567,1.21968,0.6369,0.90535,0.91196,0.89232,0.93085,0.62594,1.13152,0.63082,0.9268,0.00185744,0.00185744,0.00185744
74,197.022,1.1777,0.64796,0.91669,0.92117,0.9106,0.93819,0.63172,1.11277,0.60237,0.93164,0.00185546,0.00185546,0.00185546
75,199.325,1.1786,0.6346,0.92595,0.92466,0.90858,0.93918,0.62405,1.14685,0.61061,0.93842,0.00185348,0.00185348,0.00185348
76,202.049,1.15094,0.61358,0.89712,0.93031,0.91082,0.93476,0.61939,1.20661,0.62903,0.94451,0.0018515,0.0018515,0.0018515
77,204.519,1.19618,0.63565,0.9108,0.93306,0.89394,0.93092,0.62927,1.15931,0.62504,0.93761,0.00184952,0.00184952,0.00184952
78,206.967,1.19139,0.64651,0.90729,0.91548,0.89564,0.92934,0.60139,1.20398,0.64067,0.94342,0.00184754,0.00184754,0.00184754
79,209.372,1.18445,0.64115,0.9059,0.90741,0.89567,0.92719,0.62535,1.11863,0.64234,0.92154,0.00184556,0.00184556,0.00184556
80,211.929,1.21739,0.63957,0.91377,0.91817,0.90563,0.93503,0.58896,1.26824,0.65746,0.956,0.00184358,0.00184358,0.00184358
81,214.318,1.14726,0.62162,0.9016,0.91471,0.90994,0.93711,0.59879,1.26334,0.63794,0.95642,0.0018416,0.0018416,0.0018416
82,216.871,1.12051,0.61945,0.9086,0.93679,0.92383,0.94078,0.65468,1.04981,0.56778,0.91671,0.00183962,0.00183962,0.00183962
83,220.744,1.19764,0.62586,0.91505,0.93787,0.93593,0.94104,0.6416,1.10221,0.58642,0.92802,0.00183764,0.00183764,0.00183764
84,223.131,1.15761,0.64122,0.92563,0.92934,0.92511,0.93781,0.63628,1.09636,0.58413,0.92817,0.00183566,0.00183566,0.00183566
85,225.504,1.13042,0.60432,0.90084,0.91985,0.90433,0.92768,0.63734,1.07025,0.59252,0.9165,0.00183368,0.00183368,0.00183368
86,228.096,1.17583,0.61089,0.89973,0.9286,0.91204,0.9312,0.64187,1.0679,0.57707,0.91986,0.0018317,0.0018317,0.0018317
87,231.326,1.14936,0.59492,0.91205,0.93076,0.90909,0.9308,0.62166,1.13803,0.58619,0.94043,0.00182972,0.00182972,0.00182972
88,233.752,1.14301,0.61335,0.9147,0.91868,0.89957,0.92506,0.6253,1.11492,0.60305,0.93164,0.00182774,0.00182774,0.00182774
89,236.134,1.15871,0.62512,0.90801,0.90458,0.87003,0.91969,0.62809,1.08987,0.61838,0.92205,0.00182576,0.00182576,0.00182576
